order_id,date,customer_id,product,price,quantity,coupon_code,discount_pct,shipping_city,total,category,is_perishable,days_since_purchase,is_discounted
686800706,2014-10-18,CUST-0103,Cosmetics,437.2,8446,SAVE10,10.0,Tripoli,3323332.08,Personal Care,False,1012,True
185941302,2011-11-07,CUST-0052,Vegetables,154.06,3018,,0.0,Toronto,464953.08,Food & Grocery,True,2088,False
161442649,2010-04-10,CUST-0015,Cereal,205.7,3322,SAVE10,10.0,Osaka,615001.86,Food & Grocery,False,2664,True
645713555,2011-08-16,CUST-0107,Fruits,9.33,9845,WELCOME5,5.0,Chad City,87261.16,Food & Grocery,True,2171,True
683458888,2014-11-24,CUST-0072,Cereal,205.7,9528,SAVE20,20.0,Armenia City,1567927.68,Food & Grocery,False,975,True
679414975,2015-03-04,CUST-0061,Cereal,205.7,2844,SAVE20,20.0,Eritrea City,468008.64,Food & Grocery,False,875,True
208630645,2012-05-17,CUST-0021,Clothes,109.28,7299,SAVE20,20.0,Montenegro City,638107.78,Apparel,False,1896,True
266467225,2015-01-29,CUST-0103,Vegetables,154.06,2428,,0.0,Jamaica City,374057.68,Food & Grocery,True,909,False
118598544,2013-12-24,CUST-0083,Vegetables,154.06,4800,,0.0,Fiji City,739488.0,Food & Grocery,True,1310,False
451010930,2015-12-29,CUST-0087,Clothes,109.28,3012,,0.0,Togo City,329151.36,Apparel,False,575,False
220003211,2010-02-27,CUST-0075,Snacks,152.58,2694,SAVE10,10.0,Montenegro City,369945.47,Food & Grocery,False,2706,True
702186715,2016-11-17,CUST-0075,Household,668.27,1508,,0.0,Greece City,1007751.16,Home Goods,False,251,False
544485270,2015-12-20,CUST-0088,Cosmetics,437.2,4146,,0.0,Sudan City,1812631.2,Personal Care,False,584,False
714135205,2011-01-08,CUST-0117,Fruits,9.33,7332,,0.0,Maldives City,68407.56,Food & Grocery,True,2391,False
448685348,2010-06-28,CUST-0100,Clothes,109.28,4820,,0.0,Montenegro City,526729.6,Apparel,False,2585,False
405997025,2016-04-25,CUST-0104,Office Supplies,651.21,2397,VIP15,15.0,Estonia City,1326807.81,Business & Office,False,457,True
414244067,2012-07-27,CUST-0024,Beverages,47.45,2880,,0.0,Greenland City,136656.0,Food & Grocery,True,1825,False
821912801,2014-09-08,CUST-0003,Clothes,109.28,1117,,0.0,Cape Verde City,122065.76,Apparel,False,1052,False
247802054,2012-08-27,CUST-0022,Household,668.27,8989,SAVE10,10.0,Senegal City,5406371.13,Home Goods,False,1794,True
531023156,2012-09-03,CUST-0053,Snacks,152.58,407,,0.0,Federated St City,62100.06,Food & Grocery,False,1787,False
880999934,2010-08-27,CUST-0002,Clothes,109.28,6313,,0.0,Bulgaria City,689884.64,Apparel,False,2525,False
127468717,2011-02-20,CUST-0088,Personal Care,81.73,9681,,0.0,Algeria City,791228.13,Personal Care,False,2348,False
770478332,2015-12-12,CUST-0108,Clothes,109.28,515,VIP15,15.0,Mongolia City,47837.32,Apparel,False,592,True
430390107,2012-10-28,CUST-0030,Cereal,205.7,852,,0.0,Grenada City,175256.4,Food & Grocery,False,1732,False
397877871,2017-01-30,CUST-0038,Beverages,47.45,9759,FREESHIP,0.0,Grenada City,463064.55,Food & Grocery,True,177,False
683927953,2014-10-22,CUST-0002,Beverages,47.45,8334,,0.0,Senegal City,395448.3,Food & Grocery,True,1008,False
469839179,2012-01-31,CUST-0064,Fruits,9.33,4709,,0.0,Greenland City,43934.97,Food & Grocery,True,2003,False
357222878,2016-01-20,CUST-0060,Meat,421.89,9043,,0.0,Chad City,3815151.27,Food & Grocery,True,553,False
118002879,2016-01-01,CUST-0021,Personal Care,81.73,8529,,0.0,Mauritius City,697075.17,Personal Care,False,572,False
944415509,2017-06-01,CUST-0033,Beverages,47.45,2391,SAVE10,10.0,Morocco City,102107.66,Food & Grocery,True,55,True
499009597,2015-06-30,CUST-0076,Office Supplies,651.21,6884,SAVE10,10.0,Honduras City,4034636.68,Business & Office,False,757,True
564646470,2014-01-28,CUST-0058,Fruits,9.33,293,SAVE10,10.0,Benin City,2460.32,Food & Grocery,True,1275,True
294499957,2014-04-08,CUST-0022,Baby Food,255.28,7937,,0.0,Greece City,2026157.36,Household & Family,True,1205,False
262056386,2010-09-04,CUST-0108,Beverages,47.45,7163,,0.0,Jamaica City,339884.35,Food & Grocery,True,2517,False
211114585,2010-05-02,CUST-0089,Office Supplies,651.21,2352,SAVE20,20.0,Equatorial G City,1225316.74,Business & Office,False,2642,True
405785882,2013-10-03,CUST-0049,Office Supplies,651.21,9915,,0.0,Swaziland City,6456747.15,Business & Office,False,1392,False
280494105,2011-03-06,CUST-0091,Vegetables,154.06,3294,,0.0,Trinidad And City,507473.64,Food & Grocery,True,2334,False
689975583,2016-08-07,CUST-0059,Baby Food,255.28,7963,,0.0,Sweden City,2032794.64,Household & Family,True,353,False
759279143,2011-01-11,CUST-0042,Office Supplies,651.21,6426,,0.0,Belarus City,4184675.46,Business & Office,False,2388,False
133766114,2014-05-21,CUST-0092,Office Supplies,651.21,3221,SAVE20,20.0,Guinea-Bissa City,1678037.93,Business & Office,False,1162,True
329110324,2013-08-03,CUST-0060,Beverages,47.45,9913,VIP15,15.0,Mongolia City,399816.07,Food & Grocery,True,1453,True
681298100,2011-10-05,CUST-0080,Meat,421.89,103,VIP15,15.0,Turkey City,36936.47,Food & Grocery,True,2121,True
596628272,2016-11-15,CUST-0015,Snacks,152.58,4419,,0.0,Central Afri City,674251.02,Food & Grocery,False,253,False
901712167,2015-04-03,CUST-0062,Office Supplies,651.21,5523,,0.0,Equatorial G City,3596632.83,Business & Office,False,845,False
693473613,2013-03-22,CUST-0062,Beverages,47.45,3107,,0.0,Laos City,147427.15,Food & Grocery,True,1587,False
489148938,2010-08-02,CUST-0047,Meat,421.89,8896,,0.0,Armenia City,3753133.44,Food & Grocery,True,2550,False
876286971,2012-01-05,CUST-0062,Household,668.27,1643,,0.0,Greece City,1097967.61,Home Goods,False,2029,False
262749040,2015-08-26,CUST-0051,Personal Care,81.73,2135,SAVE10,10.0,Israel City,157044.2,Personal Care,False,700,True
726708972,2016-12-09,CUST-0108,Meat,421.89,8189,VIP15,15.0,Bhutan City,2936628.63,Food & Grocery,True,229,True
366653096,2012-05-17,CUST-0055,Vegetables,154.06,9654,,0.0,Vanuatu City,1487295.24,Food & Grocery,True,1896,False
951380240,2010-11-17,CUST-0116,Vegetables,154.06,3410,SAVE20,20.0,Burundi City,420275.68,Food & Grocery,True,2443,True
270001733,2014-11-13,CUST-0064,Cosmetics,437.2,8368,VIP15,15.0,Ukraine City,3109716.16,Personal Care,False,986,True
681941401,2016-06-16,CUST-0003,Beverages,47.45,470,FREESHIP,0.0,Croatia City,22301.5,Food & Grocery,True,405,False
566935575,2016-05-31,CUST-0101,Fruits,9.33,7690,SAVE20,20.0,Madagascar City,57398.16,Food & Grocery,True,421,True
175033080,2012-10-06,CUST-0051,Snacks,152.58,5033,,0.0,Malaysia City,767935.14,Food & Grocery,False,1754,False
276595246,2012-03-10,CUST-0007,Office Supplies,651.21,9535,,0.0,Uzbekistan City,6209287.35,Business & Office,False,1964,False
812295901,2011-01-26,CUST-0021,Office Supplies,651.21,5263,,0.0,Italy City,3427318.23,Business & Office,False,2373,False
443121373,2014-06-02,CUST-0073,Vegetables,154.06,8316,FREESHIP,0.0,Nepal City,1281162.96,Food & Grocery,True,1150,False
535654580,2014-06-27,CUST-0018,Office Supplies,651.21,949,,0.0,Portugal City,617998.29,Business & Office,False,1125,False
470897471,2015-03-17,CUST-0004,Cosmetics,437.2,7881,,0.0,Panama City,3445573.2,Personal Care,False,862,False
248335492,2013-04-03,CUST-0089,Beverages,47.45,6846,,0.0,Belarus City,324842.7,Food & Grocery,True,1575,False
680517470,2015-03-08,CUST-0060,Clothes,109.28,9097,VIP15,15.0,Botswana City,845002.14,Apparel,False,871,True
400304734,2013-06-21,CUST-0014,Personal Care,81.73,7921,WELCOME5,5.0,Tanzania City,615014.16,Personal Care,False,1496,True
810871112,2013-01-06,CUST-0114,Office Supplies,651.21,3636,,0.0,Romania City,2367799.56,Business & Office,False,1662,False
235702931,2012-03-17,CUST-0009,Cereal,205.7,8590,,0.0,Mali City,1766963.0,Food & Grocery,False,1957,False
668599021,2014-04-18,CUST-0090,Office Supplies,651.21,2163,,0.0,Central Afri City,1408567.23,Business & Office,False,1195,False
123670709,2016-01-03,CUST-0053,Baby Food,255.28,5766,,0.0,Niger City,1471944.48,Household & Family,True,570,False
285341823,2011-05-12,CUST-0002,Office Supplies,651.21,7841,,0.0,Austria City,5106137.61,Business & Office,False,2267,False
658348691,2010-07-29,CUST-0084,Fruits,9.33,8862,,0.0,Mumbai,82682.46,Food & Grocery,True,2554,False
817740142,2013-08-02,CUST-0092,Baby Food,255.28,6335,,0.0,Luxembourg City,1617198.8,Household & Family,True,1454,False
858877503,2013-10-23,CUST-0111,Beverages,47.45,9794,SAVE10,10.0,Cape Verde City,418252.77,Food & Grocery,True,1372,True
947434604,2017-02-05,CUST-0060,Vegetables,154.06,5808,SAVE20,20.0,Sweden City,715824.38,Food & Grocery,True,171,True
869397771,2015-03-20,CUST-0071,Meat,421.89,2975,,0.0,Iceland City,1255122.75,Food & Grocery,True,859,False
481065833,2012-05-06,CUST-0044,Personal Care,81.73,6925,,0.0,Qatar City,565980.25,Personal Care,False,1907,False
159050118,2013-09-30,CUST-0008,Meat,421.89,5319,FREESHIP,0.0,South Sudan City,2244032.91,Food & Grocery,True,1395,False
